CNT,MATH_avg_score,READ_avg_score,SCIE_avg_score,Total_Avg
Albania,394.8789121,396.2502453,398.9165288,396.6818954
Argentina,395.6357112,403.5960599,410.4784042,403.2367251
Australia,493.2689388,501.0569309,511.638212,501.9880272
Austria,507.7787846,491.4855506,508.0368102,502.4337151
Belgium,519.6684098,512.2817276,510.3025949,514.0842441
Brazil,382.5471459,400.4217038,395.5132209,392.8273568
Bulgaria,442.469966,442.0345462,451.0889942,445.1978355
Canada,509.4176866,510.9577476,514.456633,511.6106891
Chile,444.6923178,460.3165092,464.7237957,456.5775409
China,611.438933,568.6292329,579.5565404,586.5415688
Colombia,385.9724086,414.2215472,408.8624311,403.0187956
Costa Rica,405.9735946,440.6356451,429.0946466,425.2346288
Croatia,469.975719,484.2023925,490.3328151,481.5036422
Czech Rep.,520.061285,512.4126655,527.2010716,519.891674
Denmark,486.2412841,483.6393879,482.1030056,483.9945592
Estonia,522.3408035,518.2080896,543.241849,527.9302474
Finland,507.3258762,510.6593547,527.6643307,515.2165205
France,498.3758704,509.036619,502.3909972,503.2678289
Germany,513.8738429,507.3973928,524.1007071,515.1239809
Greece,453.5143533,477.5506684,467.4795532,466.181525
Hong Kong,561.0521231,544.5217346,554.9864334,553.520097
Hungary,484.8693892,496.1973139,501.6255336,494.2307456
Iceland,492.927207,482.7644559,478.0685705,484.5867445
Indonesia,375.6219683,397.1148146,382.7448039,385.1605289
Ireland,501.2748668,523.5968982,522.1607418,515.6775023
Israel,468.5459246,491.369262,473.4511938,477.7887935
Italy,492.0584,495.2641196,500.1568393,495.826453
Japan,535.9252475,537.7224836,546.4134552,540.0203954
Jordan,382.7390765,396.5147009,404.7958781,394.6832185
Kazakhstan,431.1819532,394.1439659,426.1127812,417.1462334
Korea,553.7520337,535.8052213,537.8319979,542.4630843
Latvia,495.5384676,495.590967,506.0705128,499.0666491
Liechtenstein,538.8866078,518.2757181,527.5985222,528.253616
Lithuania,479.2401138,477.8749256,496.4166091,484.5105495
Luxembourg,490.4837892,488.3955244,491.9766705,490.2853281
Macao,538.3197915,509.0959695,520.690411,522.7020573
Malaysia,421.9656979,400.2162351,421.0441102,414.4086811
Mexico,418.6000091,428.9493837,419.5202476,422.3565468
Montenegro,406.7282959,419.9838243,408.1978576,411.6366592
Netherlands,518.539796,506.3702875,517.296458,514.0688472
New Zealand,500.8322903,513.9939132,517.4932069,510.7731368
Norway,489.3476815,504.2474724,494.4721412,496.0224317
Peru,367.8596761,384.453116,373.4403034,375.2510318
Poland,520.5225894,520.7635843,528.2451689,523.1771142
Portugal,485.1333905,484.8046903,487.0865874,485.6748894
Qatar,376.339232,387.4071419,383.5316635,382.4260125
Romania,445.0890096,438.6637259,439.2693574,441.0073643
Russia,483.6904741,478.6795638,485.5874444,482.6524941
Serbia,447.4570952,445.7079182,443.941325,445.7021128
Singapore,568.546974,537.7421379,546.8229196,551.0373438
Slovakia,485.6684784,467.8983107,476.250526,476.6057717
Slovenia,484.5272523,461.9832418,496.073287,480.8612603
Spain,495.4378499,493.9372983,504.3033091,497.8928191
Sweden,479.2370157,485.1543271,486.3460104,483.5791177
Switzerland,520.96809,497.796502,503.7599098,507.5081673
Taiwan,558.3120105,522.1854721,522.3569349,534.2848058
Thailand,441.4160045,453.0604463,456.0978661,450.191439
Tunisia,387.4342601,403.6142727,397.8313165,396.2932831
Turkey,449.3712909,475.9247201,464.0659442,463.1206517
United Arab Emirates,431.3626532,437.1762875,444.8106803,437.783207
United Kingdom,489.7246263,498.0662784,509.6092993,499.1334013
United States,485.905804,503.2289084,501.9035976,497.01277
Uruguay,410.9950882,413.2537847,417.6243184,413.9577304
Vietnam,510.7242352,508.3581073,528.1077038,515.7300154
